 Num,dimension0,dimension1,dimension2,dimension3,dimension4,dimension5,dimension6,dimension7,dimension8,dimension9,dimension10,dimension11,dimension12,dimension13,dimension14,dimension15,dimension16,dimension17,dimension18,dimension19,dimension20,dimension21,dimension22,dimension23,dimension24,dimension25,dimension26,dimension27,dimension28,dimension29,dimension30,dimension31,dimension32,dimension33,dimension34,dimension35,dimension36,dimension37,dimension38,dimension39,dimension40,dimension41,dimension42,dimension43,dimension44,dimension45,dimension46,dimension47,dimension48,dimension49
seaglider,-0.14598830005682556,0.12795932974557075,-0.07189240546904196,-0.3540480425519135,0.030349186997268306,-0.13860576275527128,-0.3081552093673474,-0.5783446467808557,-0.08343023106410785,-0.07508705162594947,-0.09201188253598507,0.04165059558600731,-0.007960951876985648,0.1050207664058136,-0.06725621854905588,-0.050497205260227856,0.07771608194287148,0.3337353167305857,-0.009273157158824107,-0.14403928532804375,-0.09500843421031904,0.024945451101491857,0.05470126504361204,0.0014884263467837054,-0.003847732371951653,-0.06523820667932714,-0.059658969511657924,-0.14831645050200518,0.16003693985751236,1.1926974164301365E-13,-0.25389483920944744,-0.016911225516995837,-0.04421523310229829,0.06717406514871704,-0.14426988345496644,-0.032712425606219966,0.006873940480756258,0.1872122713285066,-0.24234598183772654,-0.31813784613596946,0.20118739379158956,0.0092819485449772,8.618923563923122E-16,0.007945676042248502,-0.006197706138498414,0.0020853722658788288,-0.007263746027594971,0.03695461725288323,-0.04631319324981939,-0.013928967538750062
trmm,-0.05777004977656455,0.1325498342382564,-0.36001807786072,0.2152024279465587,0.039009303992100765,0.036914168143238266,0.06535186192059032,-0.048912358397386134,0.01558836491150193,-0.2462977048364618,-0.177096008651071,-0.2329942659497223,-0.029250281776718776,-0.11456723564984743,-0.48409579077639475,0.018671847635336265,-0.05566539786602527,-0.039482399369233076,0.04888141827860738,0.026855737214743564,-0.011655940055329536,0.024266606728101124,-0.012764689407387906,-1.2737519722560238E-4,3.6891802101135134E-5,-6.752723293550332E-4,-0.009845726273419803,0.0062924818376425854,6.0475920217820346E-5,1.0595695091035358E-17,5.771770102556102E-6,-0.0015912075035569705,-0.005622974902167801,7.954488042803053E-4,-0.007477556019973835,-0.0010194855187343668,0.0017008789205643147,0.002543077000616618,-0.0047390413299873745,0.0050056195026085834,-0.010294297682501336,0.03054298515273117,-7.416986563724751E-16,-0.0826246842412533,-0.022689377214040813,0.008166377184631422,0.0469978036299692,0.09610915777208325,0.10483178828319642,-0.031512054303617906
cmip 5,-0.12850306630354402,0.19385145832457343,-0.42451566938465424,0.12064464014348546,0.003522049843318241,0.13441325268362864,-0.08226341183431583,0.04286091209584501,0.0794200769142526,0.5887471736383514,0.44956957056483454,0.6298428427321264,-0.03610387027102297,-0.038989485302324746,-0.4323559558284431,0.6109154058707341,-2.761262125080391,0.5234245610984496,-3.0121357094523615,-0.9187700800760565,1.3331491100854866,-0.11554934818948419,-0.8643977946623652,0.39928039738453497,-0.002906665207850872,-0.12556510460146564,0.0033361170172550637,-0.15722289369131656,0.3292171670021454,2.4320219671007856E-13,-0.44203674709705976,-0.08906999243605918,-0.28968355272466073,-0.23275305576864744,0.3565207100154837,0.041266627415731186,-0.1225357728360458,-0.09409683809548239,-0.5355387985288248,0.10044573149999793,-0.21640448823119768,-0.12183733416612853,1.168017757564066E-15,-0.22198615781234285,0.1090660603040031,0.027542186429882477,-0.03664569960784804,-0.3181647311829853,-0.4347669648913127,-0.14110524215888026
eumetsat,-0.36263694083313935,0.7803176082786124,-2.0759507057156066,1.1600194757162494,0.20562114411480706,0.15960624837495554,0.35448140738365574,-0.2082768231532295,0.06596522456725551,-0.6365064595942692,-0.2871150569312347,-0.22155942769505313,0.46904752396419863,0.19798909835984338,2.060723260924246,-0.3325998067119273,2.0525820681498095,1.996596150243671,-1.8881696036647007,3.9096231765034695,1.0436437155136196,1.1035089632593178,-0.939308038335599,0.9921438330122452,-0.005909823020698252,0.227907711729753,-0.034808988619625045,0.3136213954184775,0.5825359204977802,4.17656709966501E-13,-0.5276286103220091,0.2568532632058533,1.0104157524378237,-0.007014339590247512,1.1063833605445217,0.4495881744065664,-0.4768091059069373,-0.6343927573191952,-0.8905855237974857,0.9084472415266861,0.9869711900750249,-0.03027317921395171,8.256363252867557E-16,0.6301741962897148,-0.6162123513099903,0.41652083483081503,0.9129739037546767,0.20484649393988658,-0.37627825150411764,0.6505783058856243
high resolution,-0.4199202002049128,-0.3260205430964007,-0.028258709028606006,0.03239858257078496,0.006040159262789788,-0.2768913849705707,0.21036969446290157,-0.031008941834662726,0.2315040194533083,0.011404608015239065,0.029787539360965253,0.03924425976449832,-0.9228689834121089,-0.30021774234961734,0.10043767751617148,0.009484354837907725,0.028427720977236674,0.06337199236975911,-0.04867059924531469,0.023191761765350885,-0.09048557318029984,-0.030700156598432136,0.05058434597189289,-0.06282633841486389,-0.001323027149949091,-0.36807293820282616,-0.14840146917501887,-1.44429738435041,0.4285528962152586,2.9356090989314225E-13,0.004480350443520425,0.3535899239176529,1.3995685565959788,0.03672573260974975,1.2431804254287782,-0.642482387804552,0.596875226477176,0.3871823007190398,0.8495528040322656,-0.6654515400459923,-0.7454484504500402,-0.716882570662746,1.518840616757143E-14,-0.4112422878592063,-0.22100017526091284,-0.016433568939952996,0.2320659240840146,0.0204605672937373,0.09263079269176375,-0.12361545608189915
multi year sea ice,-0.047420836789905836,0.044615241420303764,-0.054402942866925263,-0.037972225403763014,-0.12609037407506277,0.03560860737048946,-0.0169726942458552,0.015887625306947113,-0.05611388451495273,0.001107431812639314,0.04453937354120572,0.02871807390081008,-0.026167123181144007,0.04930859812152739,0.09599913523074408,0.015664644302409696,-0.2641871486657228,-0.1919283664148979,-0.1804871958027794,-0.45874224449125245,0.05789434506856051,0.23013288542933352,0.051330432196245605,-0.11794060902206917,0.005622386455211533,0.15316621108447911,-0.28943224390741545,0.15976855783703983,-0.04526236460586766,-4.082161888616398E-14,0.32294219651039013,0.08431099332478405,0.2669543823462091,0.44479566228739165,-0.730258019487513,-0.7302352046133279,0.7832858583553087,0.5023974893590649,0.8493378680136134,0.7667324669491441,1.0305820169042963,-0.08043402001090702,-9.295901731048275E-15,0.48506230682998747,0.5302893130735516,-0.2630504026956628,1.444417104106676,0.5994915561879769,0.2091060115988684,0.07451864659595926
browse,-0.2535430125455033,0.21603599037670823,-0.5772358459763852,-2.365917244307567,-3.5675639333999265,1.7636223242822924,2.4595806768006114,-0.3446336059371274,-0.017804016217423828,-2.5179117840354515,3.36810934710004,-1.117901596450703,0.09285684070797441,0.19753394206133207,0.16278754443504548,5.419981008522212,0.9658778626263756,0.6727145927804657,-0.08554862257309995,-0.09935791005774393,-0.6045939507226535,0.47414366552435383,0.23606661246112506,0.09035293735076702,0.0021312504778124445,-0.05451725470014448,5.475982733619194,-1.2071336421193102,0.029282476917930404,5.987737965350827E-14,-0.6204948328943911,-0.3483600049695816,-1.287386064707332,-0.42318224486709033,-0.16015779233904565,-0.4914679598739005,0.5136343967305935,0.1655854061910306,1.0406836779082105,-0.21689276466580606,0.38047636167760557,-0.10629805062122295,-1.9358787303799853E-15,0.2154437530568079,0.8126432096969103,2.52125876673358,-0.04001536710009014,-0.06031426311769217,-0.11837206586165555,0.7744154593362589
vessel,-0.4631404920839534,0.3863980251801711,-0.35242304598603025,-0.9149565149672534,0.09755529353584787,-0.36819146933734725,-0.8107618197762092,-1.4118073927084314,-0.23220783210032026,-0.06413611258709258,0.04059773747461243,0.4071440936126773,-0.019339629981364678,0.280326374143335,-0.30487864561647277,-0.12854484587739046,0.001056472338191134,0.8506144130428137,0.1777049564585311,-0.06624522470575833,-0.14298139576964947,-0.10188669004217872,0.1464045665766787,-0.05674890161699855,-0.01552433486870419,-0.06262431165414964,-0.07654439747672602,-0.25144680335401237,-0.2865192950103266,-1.937481942605751E-13,-0.16312089681264116,-0.07514806953301124,-0.09262259354850394,-0.1563373067857395,0.1755710290410478,0.5341935403125563,-0.6004858484643916,-0.9623576305099735,1.4232553010167834,0.2418542321191765,0.2212025067463649,0.14535438812393514,-3.9531528302474304E-15,-0.24208341896645513,0.21423553980235682,-0.34233499304139586,0.04606912588368449,-0.06427450271384719,0.5974795111240638,0.17483652036186176
assimilate,-0.7229123990530665,1.6663449275271176,-4.5405616408127925,2.7368381244060824,0.49709270078620343,0.48460902193897,0.8275375863632661,-0.6357272551299522,0.20728230972101896,-3.29567112668683,-2.4028078533223978,-3.189587892198877,-0.44858587010244017,-1.6280616391048208,-7.006040647253369,0.2895817829095785,-0.9137543493774238,-0.6417221750366231,0.7224708712984278,0.44769372682353437,-0.18579846835661662,0.4475061170899072,-0.26663122817935,0.10826051820410551,-0.0013162898627654515,-0.032753921999191624,-0.33043498567174917,0.041162900273626776,-0.07265890228066825,-5.458953505000326E-14,0.1167397548727775,-0.029583287159796058,-0.12806694830790208,-0.00728015062726106,-0.1326673869485629,-0.1688480120128563,0.1723741965937132,0.20173698978076215,0.3804626077976589,-0.09760034740635386,-0.013567559135512946,0.10264257832659093,-2.5049067837270172E-15,0.16757368182728427,-0.014095583673195064,0.04708638002591852,-0.08012737989398235,0.08285734461755523,0.1315698977785985,0.29275224013790146
sigma naught,-0.8747085156619868,1.0000387206067958,-3.135561484259423,-4.524383019242551,-27.411467735215066,2.157278643725664,3.459596622041604,0.0027436292791790124,0.021257776364262532,3.622546440160972,-2.639328840502925,-1.769282143893605,0.019891164964701658,-0.6155281792698273,-0.9245501741006688,-6.26060238547088,-0.26041056222461867,0.2591873434924651,-0.11428981105909292,0.6759513268358252,0.8052227910551117,-1.7686914289794886,-0.3925060405001278,0.05319044127633981,-0.00461909423477268,-0.08764534134470502,1.0780822409486355,-0.34817807367509623,0.02968629691501809,3.241200586088887E-14,-0.27783165157582573,-0.07153289177409485,-0.19986058141543658,-0.15666369418862103,0.1559849763863724,0.4645028629514527,-0.5311526639198141,0.1740207760020879,0.2570556791132923,-0.6052567712687669,-0.6050972911849564,0.31802955958776424,-3.3101034830916067E-15,0.2017289163468603,0.01316754839309566,0.3196692864643761,-0.5456307141010055,-0.15529332364600243,-0.5179470737653388,1.5200444407863876
