 Num,dimension0,dimension1,dimension2,dimension3,dimension4,dimension5,dimension6,dimension7,dimension8,dimension9,dimension10,dimension11,dimension12,dimension13,dimension14,dimension15,dimension16,dimension17,dimension18,dimension19,dimension20,dimension21,dimension22,dimension23,dimension24,dimension25,dimension26,dimension27,dimension28,dimension29,dimension30,dimension31,dimension32,dimension33,dimension34,dimension35,dimension36,dimension37,dimension38,dimension39,dimension40,dimension41,dimension42,dimension43,dimension44,dimension45,dimension46,dimension47,dimension48,dimension49
grace aod,-0.0031426652211166343,3.9439048169132575E-6,8.716831157617552E-5,0.03384130167231466,-2.679418823717748,0.11663680475090522,0.003193306270008548,-0.03182346906454006,6.938499925887403E-4,0.0013786479535048814,0.002544387086606364,-0.003675828835306341,0.7517397015516035,-0.17540920763982665,-0.10964177570616276,0.0451779273905501,0.031241109464967876,0.033114964682546266,4.3372696275613534E-4,-0.004002908847979603,1.262550999862905E-16,-2.578418200000487E-4,-2.1849927916253915E-4,0.1799734747879607,1.277125308398327E-4,0.002146649473238869,6.040109730679039E-5,7.239046153104462E-4,-0.032910346496027476,0.003798056844821569,-0.006303951933006558,-0.09681165038367501,-1.4729761665067228E-15,-6.523180165958343E-16,0.021622558960635953,-0.004622828032338023,0.018719262882917937,-0.5353652591714153,-0.01956025651095067,-0.054309635148891304,0.009154204979250381,0.007569351763554917,-0.0015765740152192307,0.06058012819742981,0.03912684194558235,0.026651325497573233,-0.0020644733691436777,2.2007354328182238E-4,0.09793831864109999,-0.004045891281612632
aquarius project saline,-8.373282706034087E-5,2.6660458996895486,-0.15592543369459932,-4.144441655823902E-5,2.475747426628786E-6,1.1819442315472361E-4,0.0010073865200775573,2.5789976322246962E-5,-2.8834577515997862E-5,-1.0764328066591061E-4,1.8675538994008275E-6,1.4137307612598983E-5,8.939272077203063E-6,6.276616048614526E-5,-8.808061272504451E-6,2.636604444741417E-4,9.843977736774047E-5,-5.052015972526962E-4,0.008010248499016773,3.921092629752499E-4,-6.2045259384191125E-16,-0.0066118969435374,-3.285920643801289E-5,1.5706981777933104E-4,-3.727286111934878E-4,9.112469915829997E-4,-0.17827918626228156,0.00304769817483828,3.0058608068040963E-5,-1.2485884611644564E-5,0.0024230531506669196,-7.000322786090167E-5,-1.0857920392233448E-15,-1.202126900568703E-15,-2.741317206391214E-4,-0.044930665863158276,-0.015115892903073762,2.434638682957513E-4,-0.009024291303696374,-8.597100629435158E-5,-8.378861154823212E-5,1.0880390659501179E-4,0.005780367084987046,-6.69400788637399E-4,-0.011990590576598346,0.016163473547956102,-0.1936060954512938,-0.0012102685685944884,-0.0018316430177351018,0.10775389397065133
long,-3.55467631888595E-17,-4.3483666511058024E-16,-2.0358600735437711E-16,2.8741757283622873E-16,9.827939484956769E-17,-7.7613855253282E-16,1.1462507108177472E-16,8.554135574543517E-17,3.2315239262599543E-16,-4.1727726140018577E-17,-4.1667852988662685E-16,3.464398986406997E-16,-2.0520176931750712E-16,1.5364382921534648E-16,-3.801742028378129E-17,-1.812047308355461E-16,9.622845975582095E-16,5.013649905002703E-16,-3.543306518554423E-16,2.1538150170661143E-15,1.671702447886578E-15,-2.8730193073667886E-15,1.4154096398087873E-15,4.883448664947766E-16,8.772992793899601E-17,-5.535481552504068E-16,2.979836852999638E-15,9.032238980312211E-16,-5.78176911430949E-15,6.468955370997416E-15,9.944352364747979E-15,-7.311468245827683E-15,-4.8947320610022034E-17,3.8640633457615627,9.290622647569659E-15,-1.0239591567377278E-15,-1.5123286103610819E-15,-2.683519469849529E-15,2.60479645033114E-15,7.369299906676022E-16,1.617994229875823E-15,-2.202992262261039E-15,4.687969040596921E-15,-4.2356686519811544E-16,5.401721849578211E-16,-2.5630250951376628E-15,2.5505488740201687E-15,2.28537572205049E-14,2.1862491010901678E-13,4.1440003807695846E-11
climatology sst,-0.539421210014151,-1.418771109500039E-4,-0.002170844471480516,-0.22595174753358363,0.0015951325021502391,0.013895882355140783,-0.004341341330457021,-0.4660988580791657,0.010367490670752658,8.241082160221795E-4,0.0024504480705565537,-0.01633228486627844,0.011906047847515575,0.06215954201274735,-0.025199913240996907,0.021427355190677427,0.006081158217352337,0.35336379874518825,0.014130018186824113,-0.011102690998022916,-5.012709621998166E-16,-8.027901042991216E-4,4.7352694625985334E-4,-0.08153137502629447,-6.964795082554834E-4,-0.001934282263783449,0.00486913953517268,-8.324223730047458E-4,0.09722341984175954,-0.008912418762210095,0.010899662154429963,-0.0647548544768397,-4.594983820164986E-15,-1.0025419243996332E-15,0.002116162319351432,0.058392396299518756,-0.07742321611376637,0.02762368702718102,-0.11282070316636379,0.002444979211340739,0.046793401188617335,0.015816540917515342,-0.011215229001765633,0.0903356625469367,-0.0073294889634465754,-0.05970481333031971,0.10352224042584626,0.005410061180762952,-0.025587864808805802,0.32264959904034324
acspo,-6.270812696174834E-4,7.940196778071163E-5,0.0013412123455734267,4.1711475948436614E-4,-0.0013714781561051988,-0.040147674168722655,-2.620817574600834E-4,0.002751113459598259,0.008155981251515702,0.010880618982260191,0.004785761084772699,-0.06568193049112114,0.020673359251303956,0.08362682810349578,0.054506475685884244,0.11658235849031337,0.21220162836322545,-0.035322734599234365,-0.011303265752651944,0.00632264111018492,7.689176890725502E-16,0.0019396130127953778,0.0048594041084699035,0.010726960954332015,6.706400512879009E-4,0.038045667336029466,0.0030357356384005806,-0.026706170752919752,-0.008634084059803246,8.413223288720938E-4,0.011323360219939007,-0.018559648872541332,-1.5982503394293724E-15,-2.1969076830644292E-16,0.29366753255220157,-0.062382072218827925,0.33557809676218925,0.014839875384870721,-0.22532448694586182,0.05449967033379389,0.4110384649617654,-1.879305566218741,-0.5285605345985886,0.04977073182726925,0.21018505350167635,-0.27147029345781354,-0.02526245303258791,-4.1788789960186867E-4,-0.14691343498023482,0.015102017447779809
avhrr 3,-0.00424073561930405,7.483669229947176E-4,0.014022409409861691,0.010688792103122713,-0.08648377766290496,-2.327048013083376,-0.04239598125187172,-0.1705294014768747,0.6867002186166499,-1.4060309480050337,1.1431982233662017,45.66632252073759,4.730229811278095,14.10494969382684,11.345190290170885,8.51059835176531,0.7866212314302085,-0.4247877974588706,-0.11653770434019105,-0.07301322376103903,7.908867659031945E-15,0.011979137323832103,0.13453318460223962,0.13575977841081982,0.007551624675760081,-6.921218692819065,-0.018826567710261033,0.44131566471721784,0.11942063326064593,-0.004640513989623948,-0.01654736099712743,0.05787212322372955,2.8120418343224698E-15,1.4060209171612345E-15,0.24308377549780108,-0.017817019917687964,0.03830384845709958,0.041591318405702786,-0.007265098063568711,0.058935688181883446,0.005069206774715039,-0.028569409254127383,0.04777238671991035,-0.005871171027710023,-0.0378324468738985,0.06148534559329107,0.010700585784525074,-1.2531984239696854E-4,-0.08692061338266609,-0.0017597666534254525
aqua anamo,-0.052459880186012955,0.006973756905947769,0.121347092235264,0.0524388503043214,-0.313374881348676,-8.077752167274257,-0.1011747069826976,-0.2742314436027906,-4.114196075670048,0.18478159730788843,0.07331220000631064,-1.6963570178154062,0.4292246736121261,1.651517368320739,1.2135267111934198,2.5626473518745128,-2.85122257211517,-1.0250476529368426,-0.43173920824726814,-14.643572937747,-2.008106231414911E-14,-0.030926064173100534,0.10186105622648065,-0.02902267431542085,0.0029022109155969244,-0.2576274561841617,0.03151697862656027,0.20928555271854,-0.033671515017619905,-0.0022858284449894847,0.2438821369250963,0.23055322946196638,1.7540509226870224E-15,1.9290692097539073E-14,-1.7378442315209257,-1.5417126548699516,10.943867059541889,0.6561849184656977,-8.012466338891265,1.994716011400899,-0.9788201141290367,4.4458119473219835,-4.188823822859757,0.5479573003599545,1.440515456764912,-2.543687546675011,-0.36068108074993155,0.0026921816412958824,1.5581964125046563,0.14755039032433825
merge tp j1 ostm ost gmsl ascii v2,-0.01015682368262716,0.0012920185109900814,0.022343313215840904,0.008695610087097651,-0.04799422107043701,-1.2675943003045056,-0.01079783885967145,-0.013164647963143693,0.21375257486453786,0.054930276977211694,0.0717551009490756,-0.27004302466793206,0.02980481731402363,0.3016638692869721,-0.11701711832530778,0.716139447679851,0.35180495951849305,-0.17861702087263293,-0.05787677882789519,0.031117475076093075,3.346487046118603E-16,0.004900085475638989,0.03162498208476423,0.02795511726195744,0.0028917123515111425,0.027601466384176127,0.011236099304846705,-0.012358176297005112,0.022476931378889307,8.140730319262062E-5,0.053269773301719586,0.004227515615270153,-7.670599521440392E-16,9.024234731106345E-16,-0.4422954484507341,-0.07996161516761624,0.4052333802643848,-0.024501184606317124,-0.22972922614776692,0.018842896438249254,0.05012265015671673,-0.20525626858870502,0.22635721386696636,-0.02316059043300433,-0.2568753790116514,0.330372837534842,0.03738101313147827,0.001059369935418889,0.38439314084709836,-0.04276275654443153
ostm jason 2,-9.093525423282535E-4,0.023417340966802213,0.4237080906812793,4.6321893634103964E-4,4.59009106104981E-4,0.012000306818339681,-0.024256645040012268,-0.0020228587705646566,-0.0013072483631361518,-0.004382176878232902,-0.0015918255103766477,0.012349081673469802,-0.0029939630157170697,-0.019170365849421014,0.0024643130770404605,-0.041412179849651336,-0.00511582698261281,0.024914558099660325,-0.5014922928520347,-5.957060569369569E-4,1.4519336498423409E-15,0.16548933511433409,-2.5479482227066446E-5,-9.537074835015401E-4,-0.00878200969195274,-0.004803575846300827,0.2110428358659459,6.230878376092959E-4,1.0535155490374343E-4,-3.9696445534627184E-4,0.8303259381072157,-0.05281318478896002,-3.5603938196133924E-14,-1.8938264997943575E-15,0.03592932249162201,0.7520300682154386,0.17450944351983827,-0.0036766326691979835,0.09195618187085354,0.0011708594786075715,0.0025671281276177507,-0.0036923346555118326,0.006464290409521648,6.939002819034106E-4,0.024274818439000135,-0.03424171983399596,0.7455766013775551,0.003834712789187674,0.020329254581142046,-0.26004426845899603
atmospheric electricity,-0.27749642638345573,0.631273588777727,11.440416029441957,-0.155829219833399,0.011165265230740505,0.23301875672453637,7.058662996541648,0.2789873207650615,-0.056050112686013794,4.808839172058851,-0.5884925025067285,0.7024677830717555,-0.13745886990385384,-0.8685535606589764,0.10651497561010942,-1.786537555302259,-0.2186266200616279,1.3852651701553538,-34.17214131536671,0.4025745157744628,3.6233298313880385E-16,2.7605349790424203,-0.016459593792017106,0.03689680417004204,0.38418730778007376,0.040016561654754715,-1.6249581441435008,0.0051999119247938316,0.005261941513839941,9.145405927442866E-4,-1.4818572109305042,0.09333434902987173,6.545542684907712E-14,1.878639957612889E-15,-0.04887559108739524,-1.404038537344749,-0.5177055831888152,0.008185273103222167,-0.4128435610103245,-0.002108114250453271,-0.004414869498500683,6.820692359180346E-4,-0.03629359362938886,-0.005143329466063884,0.039571559235823235,-0.053723227969939114,-0.1575353606826283,-0.0073715683935475194,-0.059769268780021576,1.9500876898046542
