Continental Rise,SubClassOf,Sea Floor
Continental Shelf,SubClassOf,Sea Floor
Continental Slope,SubClassOf,Sea Floor
Deep Ocean Basin,SubClassOf,Sea Floor
Deep Sea Trench,SubClassOf,Sea Floor
Deep Sea Trench,SubClassOf,Trench
Deep Sea Trench,equivalentClass,Abyssal Trench
Guyot,SubClassOf,Seamount
Hydrothermal Vent,SubClassOf,Sea Floor
Hydrothermal Vent,SubClassOf,Geyser
Mid Ocean Ridge,SubClassOf,Ocean Ridge
Ocean Ridge,SubClassOf,Sea Floor
Ocean Ridge,SubClassOf,Ridge
Oceanic Plateau,SubClassOf,Ocean Ridge
Seamount,SubClassOf,Mountain
Seamount,SubClassOf,Sea Floor
Reef,SubClassOf,Ocean Ridge
Submarine Canyon,SubClassOf,Canyon
Submarine Canyon,SubClassOf,Sea Floor
Sea Floor,SubClassOf,Water Body Boundary
Sea Floor,equivalentClass,Seabed
Sea Floor,equivalentClass,Ocean Floor
